pair_id,worker,relevance
0,4,4
0,6,3
1,4,3
1,6,3
2,4,1
2,6,3
2,21,2
2,22,1
3,4,1
3,6,2
4,4,1
4,6,2
5,4,1
5,6,1
6,4,1
6,6,1
7,4,1
7,6,0
8,4,1
8,6,1
9,4,1
9,6,2
10,4,1
10,6,1
11,4,1
11,6,1
12,4,1
12,6,1
13,4,1
13,6,0
14,4,1
14,6,2
15,4,1
15,6,1
16,4,1
16,6,1
17,4,0
17,6,1
18,4,1
18,6,1
19,4,1
19,6,1
20,3,4
20,4,4
21,3,4
21,4,1
21,21,2
21,22,1
22,3,2
22,4,0
22,21,1
22,22,1
23,3,0
23,4,0
24,3,1
24,4,0
25,3,0
25,4,0
26,3,2
26,4,0
26,21,1
26,22,0
27,3,0
27,4,1
28,3,2
28,4,0
28,21,0
28,22,1
29,3,1
29,4,0
30,3,0
30,4,1
31,3,1
31,4,0
32,3,1
32,4,0
33,3,0
33,4,0
34,3,0
34,4,0
35,3,3
35,4,0
35,21,2
35,22,4
36,3,0
36,4,0
37,3,2
37,4,1
38,3,0
38,4,0
39,3,2
39,4,0
39,21,2
39,22,1
40,1,3
40,4,4
41,1,3
41,4,2
42,1,1
42,4,1
43,1,0
43,4,0
44,1,3
44,4,2
45,1,0
45,4,0
46,1,1
46,4,1
47,1,1
47,4,1
48,1,1
48,4,1
49,1,0
49,4,0
50,1,1
50,4,0
51,1,0
51,4,0
52,1,1
52,4,0
53,1,1
53,4,0
54,1,1
54,4,0
55,1,1
55,4,0
56,1,0
56,4,0
57,1,1
57,4,0
58,1,1
58,4,0
59,1,1
59,4,0
60,3,4
60,6,4
61,3,2
61,6,0
61,21,0
61,22,0
62,3,2
62,6,1
63,3,2
63,6,1
64,3,2
64,6,0
64,21,1
64,22,1
65,3,3
65,6,3
66,3,3
66,6,3
67,3,1
67,6,1
68,3,2
68,6,1
69,3,2
69,6,1
70,3,2
70,6,1
71,3,2
71,6,1
72,3,2
72,6,1
73,3,2
73,6,1
74,3,1
74,6,1
75,3,2
75,6,1
76,3,2
76,6,0
76,21,0
76,22,0
77,3,0
77,6,0
78,3,1
78,6,0
79,3,0
79,6,0
80,1,4
80,3,4
81,1,4
81,3,4
82,1,3
82,3,4
83,1,3
83,3,4
84,1,4
84,3,4
85,1,4
85,3,4
86,1,4
86,3,4
87,1,3
87,3,4
88,1,2
88,3,3
89,1,2
89,3,3
90,1,3
90,3,3
91,1,4
91,3,4
92,1,2
92,1,2
92,3,4
92,3,4
93,1,3
93,3,4
94,1,3
94,3,3
95,1,2
95,3,3
96,1,3
96,1,2
96,3,3
96,3,4
97,1,2
97,1,2
97,3,3
97,3,4
98,1,2
98,1,2
98,3,3
98,3,4
99,1,1
99,1,1
99,3,3
99,3,3
100,1,4
100,6,3
101,1,4
101,6,4
102,1,4
102,6,3
103,1,3
103,6,3
104,1,3
104,6,3
105,1,4
105,6,3
106,1,3
106,6,3
107,1,2
107,6,3
108,1,2
108,6,2
109,1,1
109,6,2
110,1,3
110,6,3
111,1,2
111,6,3
112,1,3
112,6,3
113,1,1
113,6,2
114,1,2
114,6,3
115,1,2
115,6,2
116,1,3
116,6,3
117,1,2
117,6,2
118,1,2
118,6,3
119,1,2
119,6,3
120,3,4
120,4,4
121,3,4
121,4,3
122,3,4
122,4,3
123,3,3
123,4,1
123,21,3
123,22,4
124,3,3
124,4,1
124,21,3
124,22,4
125,3,4
125,4,4
126,3,4
126,4,2
126,21,4
126,22,4
127,3,3
127,4,3
128,3,4
128,4,2
128,21,0
128,22,0
129,3,3
129,4,3
130,3,3
130,4,2
131,3,3
131,4,3
132,3,3
132,4,2
133,3,4
133,4,4
134,3,2
134,4,3
135,3,4
135,4,4
136,3,2
136,4,0
136,21,0
136,22,2
137,3,4
137,4,3
138,3,2
138,4,0
138,21,0
138,22,2
139,3,2
139,4,0
139,21,1
139,22,3
140,1,4
140,6,4
141,1,3
141,6,3
142,1,2
142,6,3
143,1,3
143,6,3
144,1,4
144,6,4
145,1,4
145,6,4
146,1,2
146,6,3
147,1,4
147,6,4
148,1,2
148,6,3
149,1,2
149,6,2
150,1,1
150,6,2
151,1,4
151,6,4
152,1,3
152,6,3
153,1,2
153,6,3
154,1,4
154,6,4
155,1,2
155,6,3
156,1,2
156,6,1
157,1,2
157,6,3
158,1,2
158,6,2
159,0,1
159,1,1
159,1,1
159,6,3
160,3,4
160,4,4
161,3,3
161,4,2
162,3,3
162,4,3
163,3,4
163,4,2
163,21,3
163,22,4
164,3,1
164,4,0
165,3,2
165,4,2
166,3,3
166,4,1
166,21,2
166,22,2
167,3,2
167,4,1
168,3,2
168,4,1
169,3,2
169,4,2
170,3,2
170,4,2
171,3,2
171,4,1
172,3,4
172,4,4
173,3,3
173,4,2
174,3,2
174,4,1
175,3,2
175,4,1
176,3,2
176,4,2
177,3,2
177,4,1
178,3,3
178,4,1
178,21,1
178,22,2
179,3,3
179,4,1
179,21,0
179,22,2
180,1,4
180,6,4
181,1,2
181,6,3
182,1,2
182,6,3
183,1,1
183,6,2
184,1,2
184,6,3
185,1,2
185,6,3
186,1,2
186,6,2
187,1,2
187,6,2
188,1,2
188,6,1
189,1,2
189,6,3
190,1,1
190,6,2
191,1,1
191,6,0
192,1,2
192,6,3
193,1,1
193,6,1
194,1,0
194,6,0
195,1,2
195,6,2
196,1,2
196,6,2
197,1,2
197,6,2
198,1,2
198,6,2
199,1,2
199,6,2
200,3,4
200,4,4
201,3,0
201,4,0
202,3,0
202,4,0
203,3,0
203,4,0
204,3,0
204,4,0
205,3,0
205,4,0
206,3,0
206,4,0
207,3,0
207,4,0
208,3,0
208,4,0
209,3,0
209,4,0
210,3,0
210,4,0
211,3,0
211,4,0
212,3,0
212,4,0
213,3,0
213,4,0
214,3,0
214,4,0
215,3,0
215,4,0
216,3,0
216,4,0
217,3,0
217,4,0
218,3,0
218,4,0
219,3,0
219,4,0
220,1,4
220,6,4
221,1,1
221,6,0
222,1,0
222,6,0
223,1,1
223,6,0
224,1,2
224,6,1
225,1,2
225,6,1
226,1,0
226,6,0
227,1,2
227,6,1
228,1,2
228,6,1
229,1,2
229,6,1
230,1,2
230,6,1
231,1,2
231,6,1
232,1,2
232,6,1
233,1,0
233,6,0
234,1,0
234,6,0
235,0,0
235,1,0
235,1,2
235,6,0
236,1,2
236,6,1
237,1,0
237,6,0
238,1,0
238,6,0
239,1,0
239,6,0
240,3,4
240,4,4
241,3,0
241,4,0
242,3,3
242,4,3
243,3,2
243,4,2
244,3,2
244,4,1
245,3,3
245,4,2
246,3,3
246,4,2
247,3,3
247,4,2
248,3,2
248,4,2
249,3,4
249,4,3
250,3,2
250,4,2
251,3,2
251,4,2
252,3,0
252,4,0
253,3,2
253,4,2
254,3,1
254,4,1
255,3,3
255,4,2
256,3,2
256,4,2
257,3,4
257,4,3
258,3,3
258,4,4
259,3,2
259,4,3
260,1,3
260,6,4
261,1,2
261,6,2
262,1,1
262,6,2
263,1,1
263,6,0
264,1,1
264,6,0
265,1,1
265,6,1
266,1,2
266,6,2
267,1,0
267,6,1
268,1,0
268,6,0
269,1,0
269,6,0
270,1,0
270,6,1
271,1,0
271,6,0
272,1,0
272,6,0
273,1,2
273,6,3
274,1,0
274,6,1
275,0,0
275,1,0
275,1,0
275,6,2
276,1,1
276,6,1
277,1,0
277,6,0
278,1,2
278,6,1
279,1,0
279,6,0
280,3,3
280,4,3
281,3,2
281,4,0
281,21,2
281,22,4
282,3,1
282,4,0
283,3,1
283,4,0
284,3,1
284,4,0
285,3,1
285,4,0
286,3,1
286,4,1
287,3,1
287,4,1
288,3,1
288,4,0
289,3,0
289,4,0
290,3,1
290,4,1
291,3,1
291,4,1
292,3,1
292,4,1
293,3,0
293,4,0
294,3,0
294,4,0
295,3,1
295,4,1
296,3,0
296,4,0
297,3,0
297,4,0
298,3,0
298,4,1
299,3,0
299,4,1
300,1,4
300,6,4
301,1,2
301,6,1
302,1,2
302,6,1
303,1,3
303,6,4
304,1,1
304,6,2
305,1,1
305,6,2
306,1,4
306,6,4
307,1,2
307,6,3
308,0,4
308,1,4
308,1,2
308,6,4
309,1,2
309,6,1
310,1,2
310,6,3
311,1,2
311,6,2
312,1,2
312,6,2
313,1,2
313,6,1
314,1,0
314,6,0
315,1,1
315,6,2
316,1,2
316,6,2
317,1,2
317,6,2
318,1,3
318,6,3
319,1,2
319,6,3
320,3,4
320,4,4
321,3,2
321,4,0
321,21,0
321,22,1
322,3,4
322,4,3
323,3,3
323,4,2
324,3,3
324,4,1
324,21,4
324,22,4
325,3,2
325,4,0
325,21,0
325,22,1
326,3,1
326,4,0
327,3,2
327,4,0
327,21,0
327,22,1
328,3,1
328,4,0
329,3,2
329,4,3
330,3,2
330,4,1
331,3,0
331,4,0
332,3,1
332,4,0
333,3,2
333,4,0
333,21,1
333,22,1
334,3,1
334,4,0
335,3,2
335,4,0
335,21,0
335,22,0
336,3,4
336,4,4
337,3,0
337,4,0
338,3,0
338,4,0
339,3,1
339,4,0
340,1,4
340,6,4
341,1,2
341,6,3
342,1,2
342,6,3
343,1,4
343,6,4
344,1,2
344,6,2
345,1,3
345,6,4
346,1,4
346,6,3
347,1,3
347,6,4
348,1,3
348,6,4
349,1,2
349,6,1
350,1,4
350,6,4
351,1,2
351,6,1
352,1,2
352,6,3
353,1,4
353,6,4
354,1,4
354,6,4
355,1,2
355,6,3
356,1,2
356,6,1
357,1,2
357,6,1
358,1,2
358,6,3
359,1,3
359,6,4
360,3,4
360,4,4
361,3,1
361,4,1
362,3,1
362,4,0
363,3,2
363,4,2
364,3,2
364,4,1
365,3,1
365,4,0
366,3,2
366,4,3
367,3,2
367,4,2
368,3,1
368,4,0
369,3,0
369,4,0
370,3,2
370,4,1
371,3,0
371,4,0
372,3,0
372,4,1
373,3,1
373,4,0
374,3,1
374,4,0
375,3,0
375,4,0
376,3,0
376,4,0
377,3,0
377,4,0
378,3,1
378,4,0
379,3,1
379,4,1
380,0,4
380,1,2
380,1,2
380,6,4
381,1,2
381,6,3
382,1,2
382,6,2
383,1,2
383,6,3
384,1,2
384,6,3
385,1,2
385,6,2
386,1,2
386,6,2
387,1,2
387,6,2
388,1,2
388,6,1
389,1,0
389,6,0
390,1,0
390,6,0
391,1,2
391,6,2
392,1,2
392,6,1
393,1,1
393,6,1
394,1,2
394,6,2
395,1,0
395,6,0
396,1,0
396,6,0
397,1,0
397,6,1
398,1,0
398,6,0
399,1,2
399,6,2
400,3,3
400,4,4
401,3,3
401,4,2
402,3,3
402,4,2
403,3,4
403,4,4
404,3,3
404,4,2
405,3,3
405,4,2
406,3,3
406,4,2
407,3,3
407,4,2
408,3,4
408,4,4
409,3,3
409,4,2
410,3,3
410,4,2
411,3,3
411,4,2
412,3,3
412,4,2
413,3,3
413,4,2
414,3,3
414,4,2
415,3,3
415,4,2
416,3,3
416,4,2
417,3,4
417,4,4
418,3,3
418,4,1
418,21,0
418,22,0
419,3,4
419,4,4
420,1,4
420,6,4
421,1,3
421,6,3
422,1,3
422,6,3
423,1,1
423,6,0
424,1,2
424,6,2
425,1,1
425,6,0
426,1,2
426,6,3
427,1,3
427,6,3
428,0,2
428,1,2
428,1,1
428,6,3
429,1,1
429,6,0
430,0,0
430,1,2
430,1,2
430,6,0
431,1,1
431,6,2
432,1,4
432,6,3
433,1,1
433,6,1
434,1,1
434,6,2
435,0,0
435,1,1
435,1,2
435,6,0
436,1,3
436,6,3
437,1,0
437,6,0
438,1,0
438,6,0
439,1,1
439,6,1
440,3,4
440,4,4
441,3,2
441,4,1
442,3,3
442,4,2
443,3,1
443,4,0
444,3,1
444,4,2
445,3,2
445,4,0
445,21,0
445,22,1
446,3,1
446,4,1
447,3,2
447,4,0
447,21,1
447,22,1
448,3,2
448,4,1
449,3,2
449,4,2
450,3,2
450,4,1
451,3,2
451,4,0
451,21,0
451,22,1
452,3,2
452,4,0
452,21,0
452,22,1
453,3,0
453,4,0
454,3,1
454,4,0
455,3,3
455,4,1
455,21,1
455,22,3
456,3,3
456,4,2
457,3,2
457,4,1
458,3,1
458,4,2
459,3,1
459,4,0
460,14,4
460,15,4
461,14,2
461,15,2
462,14,2
462,15,2
463,14,2
463,15,2
464,14,2
464,15,1
465,14,1
465,15,1
466,14,1
466,15,1
467,14,0
467,15,0
468,14,0
468,15,0
469,14,0
469,15,1
470,14,0
470,15,0
471,14,0
471,15,1
472,14,0
472,15,0
473,14,0
473,15,0
474,14,4
474,14,0
474,15,3
474,15,2
475,14,1
475,15,1
476,14,0
476,15,1
477,14,0
477,15,1
478,14,0
478,15,1
479,14,0
479,15,0
480,1,2
480,6,3
481,1,1
481,6,2
482,1,1
482,6,0
483,1,1
483,6,2
484,1,1
484,6,0
485,1,1
485,6,0
486,1,2
486,6,3
487,1,2
487,6,2
488,1,1
488,6,0
489,1,2
489,6,1
490,1,2
490,6,2
491,1,2
491,6,2
492,1,1
492,6,0
493,1,2
493,6,3
494,1,1
494,6,0
495,1,1
495,6,0
496,1,1
496,6,0
497,1,2
497,6,2
498,1,1
498,6,0
499,1,1
499,6,0
500,3,4
500,4,4
501,3,3
501,4,2
502,3,4
502,4,3
503,3,3
503,4,1
503,21,4
503,22,4
504,3,2
504,4,0
504,21,2
504,22,0
505,3,2
505,4,0
505,21,0
505,22,0
506,3,2
506,4,0
506,21,2
506,22,2
507,3,2
507,4,2
508,3,2
508,4,0
508,21,1
508,22,0
509,3,2
509,4,1
510,3,2
510,4,0
510,21,2
510,22,2
511,3,1
511,4,2
512,3,3
512,4,1
512,21,2
512,22,2
513,3,2
513,4,0
513,21,0
513,22,1
514,3,2
514,4,0
514,21,1
514,22,0
515,3,1
515,4,1
516,3,0
516,4,0
517,3,4
517,4,3
518,3,1
518,4,0
519,3,1
519,4,0
520,1,3
520,6,4
521,1,4
521,6,3
522,1,2
522,6,2
523,1,1
523,6,2
524,1,2
524,6,2
525,1,1
525,6,1
526,1,2
526,6,3
527,0,3
527,1,2
527,1,1
527,6,3
528,1,2
528,6,3
529,1,0
529,6,0
530,1,2
530,6,2
531,1,2
531,6,2
532,1,1
532,6,1
533,0,2
533,1,2
533,1,1
533,6,3
534,1,1
534,6,2
535,0,0
535,1,0
535,1,0
535,6,2
536,1,1
536,6,1
537,1,2
537,6,2
538,1,2
538,6,2
539,1,2
539,6,3
540,3,3
540,4,3
541,3,1
541,4,0
542,3,0
542,4,0
543,3,2
543,4,2
544,3,0
544,4,0
545,3,1
545,4,0
546,3,2
546,4,0
546,21,1
546,22,0
547,3,2
547,4,0
547,21,1
547,22,3
548,3,0
548,4,0
549,3,0
549,4,0
550,3,0
550,4,0
551,3,0
551,4,0
552,3,1
552,4,1
553,3,0
553,4,0
554,3,1
554,4,1
555,3,2
555,4,1
556,3,2
556,4,0
556,21,1
556,22,2
557,3,0
557,4,0
558,3,1
558,4,1
559,3,1
559,4,1
560,0,2
560,1,2
560,1,2
560,6,4
561,1,2
561,6,3
562,0,0
562,1,0
562,1,0
562,6,3
563,0,2
563,1,2
563,1,2
563,6,4
564,0,0
564,1,1
564,1,1
564,6,3
565,1,2
565,6,3
566,1,2
566,6,3
567,0,0
567,1,1
567,1,1
567,6,3
568,1,2
568,6,3
569,1,1
569,6,2
570,1,1
570,6,2
571,0,0
571,1,1
571,1,0
571,6,2
572,0,0
572,1,0
572,1,0
572,6,2
573,1,2
573,6,3
574,1,2
574,6,3
575,0,1
575,1,1
575,1,1
575,6,4
576,1,2
576,6,3
577,1,0
577,6,1
578,1,1
578,6,1
579,1,1
579,6,2
580,3,4
580,4,4
581,3,2
581,4,1
582,3,1
582,4,1
583,3,3
583,4,3
584,3,1
584,4,1
585,3,3
585,4,0
585,21,1
585,22,0
586,3,2
586,4,0
586,21,0
586,22,0
587,3,2
587,4,2
588,3,3
588,4,0
588,21,1
588,22,2
589,3,1
589,4,2
590,3,1
590,4,0
591,3,3
591,4,2
592,3,1
592,4,1
593,3,2
593,4,0
593,21,0
593,22,0
594,3,0
594,4,1
595,3,3
595,4,0
595,21,0
595,22,1
596,3,2
596,4,0
596,21,1
596,22,2
597,3,0
597,4,0
598,4,0
598,21,0
598,21,0
598,22,0
599,3,3
599,4,0
599,21,1
599,22,0
600,1,4
600,6,4
601,1,2
601,6,3
602,1,2
602,6,2
603,1,1
603,6,2
604,1,2
604,6,2
605,1,2
605,6,2
606,1,2
606,6,2
607,1,2
607,6,2
608,1,2
608,6,2
609,1,2
609,6,2
610,1,2
610,6,2
611,1,2
611,6,2
612,1,2
612,6,2
613,1,2
613,6,2
614,1,2
614,6,2
615,1,2
615,6,2
616,1,2
616,6,2
617,1,2
617,6,2
618,1,2
618,6,2
619,1,1
619,6,2
620,3,4
620,4,4
621,3,3
621,4,2
622,3,3
622,4,4
623,3,3
623,4,2
624,3,1
624,4,1
625,3,3
625,4,1
625,21,3
625,22,3
626,3,3
626,4,2
627,3,3
627,4,3
628,3,3
628,4,2
629,3,3
629,4,2
630,3,3
630,4,3
631,3,2
631,4,2
632,3,3
632,4,2
633,3,3
633,4,1
633,21,2
633,22,3
634,3,3
634,4,2
635,3,2
635,4,0
635,21,1
635,22,2
636,3,2
636,4,3
637,3,2
637,4,2
638,3,1
638,4,0
639,3,0
639,4,0
640,1,4
640,6,4
641,1,2
641,6,1
642,1,3
642,6,4
643,1,3
643,6,3
644,1,3
644,6,3
645,1,2
645,6,2
646,1,4
646,6,3
647,1,3
647,6,3
648,1,2
648,6,2
649,1,4
649,6,3
650,1,2
650,6,3
651,1,3
651,6,2
652,0,0
652,1,4
652,1,1
652,6,3
653,1,1
653,6,2
654,1,1
654,6,2
655,1,1
655,6,0
656,1,1
656,6,2
657,1,0
657,6,1
658,1,1
658,6,1
659,1,1
659,6,1
660,3,4
660,4,4
661,3,3
661,4,4
662,3,2
662,4,1
663,3,0
663,4,0
664,3,3
664,4,1
664,21,2
664,22,3
665,3,2
665,4,0
665,21,0
665,22,1
666,3,2
666,4,1
667,3,3
667,4,1
667,21,1
667,22,2
668,3,2
668,4,0
668,21,0
668,22,2
669,3,1
669,4,0
670,3,2
670,4,0
670,21,0
670,22,1
671,3,1
671,4,0
672,3,0
672,4,0
673,3,1
673,4,1
674,3,2
674,4,1
675,3,1
675,4,0
676,3,2
676,4,0
676,21,0
676,22,0
677,3,2
677,4,0
677,21,0
677,22,0
678,3,2
678,4,0
678,21,0
678,22,0
679,3,2
679,4,0
679,21,0
679,22,0
680,1,4
680,6,4
681,1,2
681,6,3
682,1,0
682,6,1
683,1,0
683,6,1
684,1,2
684,6,2
685,1,1
685,6,1
686,1,0
686,6,0
687,1,2
687,6,2
688,1,0
688,6,1
689,1,0
689,6,0
690,1,1
690,6,1
691,1,1
691,6,2
692,1,1
692,6,1
693,1,1
693,6,2
694,1,2
694,6,3
695,1,1
695,6,2
696,1,2
696,6,2
697,1,0
697,6,1
698,1,1
698,6,1
699,1,1
699,6,1
700,3,2
700,4,1
701,3,3
701,4,1
701,21,2
701,22,2
702,3,1
702,4,0
703,3,0
703,4,0
704,3,3
704,4,1
704,21,2
704,22,2
705,3,2
705,4,0
705,21,1
705,22,1
706,3,2
706,4,1
707,3,3
707,4,2
708,3,3
708,4,1
708,21,1
708,22,1
709,3,3
709,4,1
709,21,2
709,22,2
710,3,3
710,4,1
710,21,2
710,22,3
711,3,3
711,4,1
711,21,3
711,22,2
712,3,1
712,4,2
713,3,2
713,4,0
713,21,1
713,22,2
714,3,3
714,4,0
714,21,2
714,22,0
715,3,2
715,4,0
715,21,1
715,22,0
716,3,2
716,4,0
716,21,1
716,22,0
717,3,2
717,4,0
717,21,1
717,22,0
718,3,2
718,4,0
718,21,1
718,22,0
719,3,2
719,4,1
720,1,3
720,6,4
721,1,1
721,6,1
722,1,2
722,6,1
723,1,4
723,6,3
724,1,2
724,6,3
725,1,2
725,6,2
726,1,2
726,6,1
727,0,2
727,1,1
727,1,1
727,6,3
728,1,2
728,6,1
729,1,2
729,6,1
730,1,1
730,6,1
731,1,3
731,6,4
732,1,3
732,6,3
733,1,1
733,6,1
734,1,2
734,6,3
735,1,1
735,6,1
736,1,1
736,6,1
737,1,1
737,6,1
738,1,3
738,6,4
739,1,1
739,6,1
740,3,3
740,4,3
741,3,1
741,4,1
742,3,1
742,4,1
743,3,3
743,4,2
744,3,2
744,4,1
745,3,1
745,4,1
746,3,2
746,4,2
747,3,1
747,4,2
748,3,3
748,4,2
749,3,3
749,4,3
750,3,3
750,4,2
751,3,2
751,4,2
752,3,3
752,4,4
753,3,2
753,4,1
754,3,3
754,4,1
754,21,4
754,22,3
755,3,3
755,4,4
756,3,1
756,4,0
757,3,3
757,4,3
758,3,1
758,4,2
759,3,1
759,4,0
760,1,3
760,6,4
761,1,3
761,6,4
762,1,3
762,6,3
763,1,3
763,6,3
764,1,3
764,6,3
765,1,2
765,6,3
766,1,2
766,6,2
767,1,3
767,6,3
768,1,1
768,6,2
769,1,1
769,6,2
770,1,3
770,6,3
771,1,2
771,6,2
772,1,3
772,6,3
773,0,0
773,1,0
773,1,2
773,6,0
774,1,2
774,6,2
775,1,2
775,6,3
776,1,3
776,6,4
777,1,2
777,6,3
778,1,1
778,6,1
779,1,2
779,6,2
780,3,4
780,4,3
781,3,4
781,4,2
781,21,3
781,22,4
782,3,3
782,4,4
783,3,0
783,4,0
784,3,4
784,4,4
785,3,4
785,4,4
786,3,0
786,4,0
787,3,3
787,4,1
787,21,3
787,22,3
788,3,4
788,4,3
789,3,4
789,4,4
790,3,4
790,4,4
791,3,1
791,4,0
792,3,4
792,4,3
793,3,2
793,4,0
793,21,3
793,22,1
794,3,4
794,4,4
795,3,3
795,4,1
795,21,3
795,22,4
796,3,0
796,4,1
797,3,2
797,4,0
797,21,0
797,22,1
798,3,2
798,4,0
798,21,2
798,22,0
799,3,4
799,4,2
799,21,3
799,22,3
800,1,4
800,6,4
801,1,1
801,6,2
802,1,2
802,6,3
803,1,3
803,6,3
804,1,3
804,6,3
805,1,3
805,6,3
